classification,gyroscope_z_avg,accelerometer_y_avg,accelerometer_x_avg,accelerometer_z_avg,audio_avg,gyroscope_y_avg,gyroscope_x_avg,gyroscope_z_rms,accelerometer_y_rms,accelerometer_x_rms,accelerometer_z_rms,audio_rms,gyroscope_y_rms,gyroscope_x_rms,gyroscope_z_sdv,accelerometer_y_sdv,accelerometer_x_sdv,accelerometer_z_sdv,audio_sdv,gyroscope_y_sdv,gyroscope_x_sdv
asphalt_bad_25,0.384300961,0.347911683,0.600317776,0.5546691,0.530255075,0.491862838,0.581761068,0.395530055,0.353745265,0.604210209,0.556093252,0.530415695,0.493407559,0.583477526,0.093577752,0.063977916,0.068472946,0.039773031,0.013052366,0.039012404,0.044722299
asphalt_bad_25,0.38415782,0.27847018,0.624552244,0.560176346,0.530275206,0.492729534,0.586611155,0.390729305,0.28243291,0.627564543,0.560733952,0.53039863,0.493332108,0.587192765,0.071359366,0.047145597,0.061414571,0.025000514,0.011441701,0.024375714,0.026128462
asphalt_bad_25,0.370505745,0.369117977,0.659510072,0.563194289,0.530259168,0.492925809,0.586199835,0.380037907,0.372544777,0.662929752,0.564779959,0.530442191,0.494261718,0.58849043,0.084583118,0.050413595,0.067248203,0.042291773,0.013933137,0.036315182,0.051872343
asphalt_bad_25,0.479917068,0.371081578,0.662723361,0.564808119,0.530277653,0.494428166,0.587978243,0.486351634,0.373635419,0.665497155,0.5661311,0.530437113,0.495381935,0.589433406,0.078851247,0.04361065,0.060697695,0.038680896,0.01300544,0.030725397,0.041392345
asphalt_good_25,0.548619168,0.385733443,0.64368537,0.586528445,0.508253092,0.442495418,0.586690074,0.573926829,0.401091796,0.656929512,0.595393745,0.508560852,0.480547497,0.599375554,0.168549736,0.109928793,0.131246063,0.102362567,0.017689962,0.187413183,0.12266137
asphalt_good_25,0.567821819,0.399508382,0.54381169,0.573929486,0.381507183,0.548901899,0.604185986,0.597677097,0.422557557,0.561715548,0.588668283,0.381653446,0.58539681,0.622298349,0.186537646,0.137651522,0.140688318,0.130901844,0.010565154,0.20346039,0.149045392
asphalt_good_25,0.497837575,0.439963454,0.405757485,0.569634396,0.381504784,0.409703092,0.554818707,0.52509715,0.459573913,0.420976444,0.587659046,0.381661474,0.438583226,0.575064332,0.166987323,0.132816944,0.112169647,0.14442925,0.010935279,0.156520358,0.151245454
asphalt_good_25,0.496538206,0.446587087,0.437722734,0.589191945,0.381487636,0.409644612,0.634176952,0.533232814,0.469449224,0.452061999,0.599116957,0.381925276,0.44155187,0.651454606,0.1943889,0.144715403,0.11295512,0.108600091,0.018278395,0.164800928,0.149039245
bumps_left_25,0.44453018,0.392344025,0.390151964,0.464278114,0.493837656,0.473646946,0.484085333,0.467163363,0.414483417,0.400575381,0.50463719,0.509337691,0.530262839,0.494578846,0.143647228,0.133651297,0.090785907,0.197748645,0.124696643,0.238405641,0.101339159
bumps_left_25,0.435995048,0.397725149,0.430522146,0.465667042,0.49388033,0.474086448,0.486569139,0.454221194,0.424045964,0.440455893,0.515707709,0.510027035,0.515862022,0.508997223,0.127378219,0.147070339,0.093016536,0.22160471,0.127317694,0.203360923,0.149427728
bumps_left_25,0.44447255,0.323536335,0.377197202,0.447053434,0.493836098,0.470040006,0.479286608,0.466517867,0.347336602,0.385837011,0.503474267,0.5098208,0.519737431,0.520120787,0.141714758,0.126360416,0.081194024,0.231580579,0.126661583,0.221786812,0.202014802
bumps_right_25,0.446190439,0.368118563,0.571062172,0.438650658,0.493865651,0.482330148,0.570936404,0.478752666,0.375097098,0.581459993,0.452414913,0.509966914,0.499924997,0.584323205,0.173545981,0.072017748,0.109470173,0.1107468,0.127133678,0.131463417,0.124359281
bumps_right_25,0.466518707,0.360238364,0.508563755,0.438661333,0.4938205,0.546442437,0.564505558,0.493168886,0.36882716,0.524668566,0.44363597,0.50889396,0.589637952,0.580595664,0.159924503,0.079131506,0.128996168,0.066250345,0.12294054,0.221525569,0.135737982
bumps_right_25,0.477581315,0.379745648,0.458159697,0.441258497,0.493823425,0.567243293,0.571674764,0.507401556,0.387461074,0.476565432,0.46304097,0.50867904,0.603620402,0.58634418,0.171383857,0.076937157,0.131165174,0.140349129,0.122036023,0.206379836,0.130335957
concrete_25,0.477885765,0.527832848,0.359771266,0.471156966,0.499729278,0.565759915,0.570302129,0.484501215,0.573213357,0.361778961,0.527884626,0.509050765,0.56601365,0.593464859,0.079791124,0.223530842,0.038061174,0.238061528,0.096970771,0.016946119,0.164182889
concrete_25,0.480299358,0.562089456,0.371757678,0.461785236,0.499778071,0.5659379,0.532160717,0.496924206,0.613413964,0.374652694,0.505894331,0.509368318,0.566213038,0.563021025,0.127460554,0.245626008,0.046485163,0.206599783,0.098376641,0.017649288,0.183841361
concrete_25,0.483956291,0.54925281,0.362151911,0.46006971,0.499876956,0.566183558,0.532175128,0.503876213,0.590972878,0.365904343,0.512614048,0.511277986,0.566362041,0.570271961,0.14027668,0.218106152,0.052268364,0.226073049,0.107369493,0.014217593,0.204938389
dirt_25,0.493807712,0.525687007,0.361472778,0.54927436,0.499768799,0.566886284,0.529277084,0.512347795,0.570693443,0.370269453,0.603160682,0.500578949,0.571062491,0.568467623,0.136580403,0.222135491,0.080230284,0.249199691,0.028468081,0.068936999,0.20741554
dirt_25,0.513208091,0.545387407,0.449383497,0.602848541,0.499739683,0.565251547,0.560394579,0.530102132,0.580339534,0.45823048,0.656505705,0.500277741,0.567853511,0.60050208,0.132761912,0.19835965,0.08960829,0.259948797,0.023196284,0.054298235,0.2157792
dirt_25,0.516485348,0.529451776,0.464482912,0.586931029,0.499721874,0.563540406,0.52015404,0.533499196,0.57785966,0.47460248,0.659796222,0.499969954,0.566515667,0.575956325,0.133657316,0.23152236,0.097484043,0.30140176,0.015748128,0.057984586,0.247316524
dirt_25,0.5137536,0.522389596,0.459764931,0.586765418,0.499721221,0.564211969,0.550621982,0.526464758,0.56865132,0.469211006,0.658392854,0.499998455,0.566825014,0.594611649,0.114988605,0.224662933,0.093675911,0.298642755,0.016647999,0.054364055,0.224451435
