Num Removed,Features,Components
0,0.9811320754716981,0.9811320754716981
1,0.9811320754716981,0.9811320754716981
2,0.9811320754716981,0.9811320754716981
3,0.9811320754716981,0.9811320754716981
4,0.9811320754716981,0.9811320754716981
5,0.9811320754716981,0.9811320754716981
6,0.9622641509433962,0.9811320754716981
7,0.9622641509433962,0.9811320754716981
8,0.9622641509433962,0.9622641509433962
9,0.9622641509433962,0.9622641509433962
10,0.9622641509433962,0.9433962264150944
11,0.9433962264150944,0.9245283018867925
12,0.8113207547169812,0.7924528301886793
13,0.6981132075471698,0.7735849056603774
